symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
AVH,False,-6.6667,6.8796,3.94,14191
AVY,True,-3.3516,4.2746,112.73,294187
AVA,False,-1.4088,1.4189,46.26,105177
AVP,False,-4.1463,5.4688,4.35,2509460
EQH,True,-6.0498,3.6174,20.75,956003
AXTA,True,-2.6662,3.8957,28.1,651485
AVX,False,-4.8514,3.8462,14.27,64962
AXS,False,-2.0732,3.7478,64.68,203107
AZUL,False,-5.1879,12.4077,40.71,171497
AX,False,-6.0048,5.7359,27.66,176025
AXO,False,-1.2389,1.0125,25.89,0
AZRE,False,-5.0,2.8431,10.31,1136
BCSF,False,-3.1721,0.9449,18.09,52152
BGS,True,-5.258,11.5642,18.91,443801
BW,False,-7.7439,11.7402,3.71,48280
BGH,False,-2.0914,1.1878,17.78,31264
BMI,False,-9.4346,2.3579,54.53,71409
AZZ,False,-3.6431,5.987,42.74,63436
BLL,True,-1.9805,4.5607,79.29,1073991
BBN,False,-0.5065,1.1029,24.88,58663
BBVA,False,-3.8384,2.2684,4.85,1631825
BANC,False,-4.4786,6.0274,14.67,95154
BHGE,True,-4.7091,3.5904,23.57,1584480
BBDO,False,-7.0015,5.8356,7.66,560
BLX,False,-4.4244,4.4218,19.98,39483
BSAC,False,-3.2574,1.9629,28.47,89352
BCH,False,-2.5806,3.4596,29.39,10940
BBD,False,-5.848,4.065,8.57,4913599
SAN,False,-3.386,2.9478,3.97,3954972
BSBR,False,-3.8567,3.9595,10.98,406051
BSMX,False,-3.5088,3.2653,6.64,608218
CIB,False,-4.6454,4.8717,51.48,88476
BXS,False,-3.9813,3.0601,27.69,146321
BAC,True,-4.4248,2.8004,27.72,26642292
BOH,False,-2.7801,2.1795,82.91,105464
NTB,False,-3.959,1.6341,26.92,122409
BK,True,-3.3685,2.3428,43.67,2714136
BMO,False,-1.7498,1.02,71.6,153396
BNS,True,-1.6727,1.1182,52.21,330574
MCI,False,-2.1739,1.697,16.17,2975
BCS,False,-3.7889,1.671,6.8,1022921
BKU,False,-4.4173,9.195,31.76,217550
BBDC,False,-0.9137,0.9137,9.65,34647
B,False,-5.03,2.6501,44.98,65928
BKS,False,-2.0896,1.5198,6.49,427095
GOLD,True,-4.9461,4.2435,18.11,10343184
MPV,False,-3.5714,3.9766,16.2,52
BAS,False,-9.0909,10.6599,1.5,120259
BNED,False,-7.3746,11.236,2.91,179553
BAX,True,-3.294,2.93,88.18,1072910
BHC,True,-4.2135,2.6459,22.69,1198521
BTE,False,-4.9645,8.3333,1.4,698686
BBT,True,-4.0122,2.8002,46.73,2586415
BBX,False,-4.6875,7.5221,3.94,32225
BCE,True,-1.1179,1.7956,46.6,481790
BZH,False,-4.3706,4.6667,11.75,221310
BDXA,False,-4.5744,2.2761,61.91,34057
BDX,True,-4.966,2.8117,253.34,538778
BDC,False,-19.2253,2.9927,44.86,190883
BRK.A,False,-2.6846,1.7844,299510.0,110
BRK.B,True,-2.5507,1.6834,198.78,1977839
BHLB,False,-4.1768,4.6333,29.92,91248
BERY,True,-14.9484,2.6501,41.08,672554
BBY,True,-10.7932,6.07,71.29,1186846
BHE,False,-2.9477,3.4496,26.47,96129
BHP,True,-3.9369,2.2249,50.65,708706
BBL,True,-4.5068,2.662,44.02,463663
BIG,True,-7.686,4.0926,21.86,437774
BH.A,False,-5.106,6.7416,519.97,3
BIO.B,False,-5.1605,7.0587,325.79,0
BH,False,-4.8521,5.501,100.6,3948
BHVN,True,-4.3169,7.5259,38.83,406864
BIO,False,-5.119,8.2579,326.25,65954
BITA,False,-5.7692,9.0476,11.31,227693
BKH,False,-2.0889,1.5629,76.53,150347
BJ,True,-5.601,3.2482,22.05,783108
BKI,True,-2.9838,2.6848,61.38,278469
BSM,False,-3.2832,3.3239,14.42,54743
BGIO,False,-1.2061,2.4168,9.52,3224
BB,False,-4.0616,3.3675,7.0,1937775
CII,False,-2.5173,1.6753,15.71,49284
BHK,False,-0.8505,1.0616,14.45,51545
BFZ,False,-0.3774,0.6061,13.81,35972
HYT,False,-1.4138,0.5629,10.51,163650
BTZ,False,-1.0622,1.6104,13.64,66274
EGF,False,-0.4262,0.6816,13.17,0
FRA,False,-0.5443,0.3912,12.66,31758
DSU,False,-1.3636,0.5576,10.87,30793
BFO,False,-0.2776,0.3686,14.4,4
BGR,False,-3.2817,2.3011,10.63,41057
BDJ,False,-2.2173,2.6136,8.98,190745
BOE,False,-1.7258,1.0742,10.31,98932
BME,False,-2.0886,1.9015,38.78,11919
BGT,False,-0.5596,0.6483,12.38,26714
BAF,False,-0.7072,0.9155,14.35,7470
BGY,False,-2.0036,1.28,5.47,67985
BKN,False,-0.6386,0.9753,15.84,7081
BKT,False,-0.6623,1.1686,6.14,40466
BIT,False,-1.5455,1.2153,17.13,49817
BTA,False,-1.183,1.5987,12.99,16383
MHE,False,-1.2904,0.9914,13.05,0
BZM,False,-3.1348,2.0311,14.43,2
MUI,False,-0.6974,1.4873,14.47,25191
MNE,False,-1.2245,2.4527,14.73,376
MUA,False,-1.6822,1.198,15.17,16519
BKK,False,-0.1988,0.133,15.07,2610
BBF,False,-1.6667,1.8118,14.13,4107
BYM,False,-0.6329,1.0909,14.18,12787
BLE,False,-1.3115,1.265,14.97,17903
BFK,False,-0.4954,0.7102,14.29,25383
BBK,False,-0.3987,0.7185,15.5,5717
MEN,False,-0.805,0.9074,11.43,18316
MUC,False,-0.2185,0.7857,14.27,29633
MUH,False,-0.6545,1.0506,15.61,5160
BTT,False,-0.6421,1.1069,23.9,38980
MFL,False,-0.4521,0.6657,13.63,24812
MUE,False,-0.468,1.1218,12.91,4812
MUS,False,-0.4695,0.7886,12.77,6141
MVT,False,-1.63,1.4047,15.37,3354
MUJ,False,-1.0936,0.9028,14.62,11077
MYC,False,-1.0684,0.9306,14.54,21651
MHN,False,-0.2987,0.8778,13.8,13472
MHD,False,-2.5424,3.4483,16.84,3064
MCA,False,-0.8451,0.4141,14.54,23926
MYF,False,-1.0898,1.654,14.59,4791
MFT,False,-0.9538,1.5184,13.7,1730
MYD,False,-1.0688,0.823,14.99,31252
MYJ,False,-1.16,1.2242,15.53,14945
MIY,False,-0.8293,0.7785,14.42,7125
MPA,False,-0.9009,0.8602,14.39,5464
MYN,False,-0.6808,1.0109,13.2,23457
MQT,False,-0.6891,0.8045,13.01,18771
BQH,False,-0.9492,0.8754,14.91,186
MYI,False,-0.5319,0.6006,13.63,51248
MQY,False,-0.6224,0.8169,15.1,16520
BST,False,-3.1957,2.7211,33.15,46830
BFY,False,-0.7774,1.5511,14.45,1069
BNY,False,-1.7341,2.2157,14.25,2638
BUI,False,-1.1649,2.0601,24.0,10193
BSE,False,-0.7508,1.0355,13.67,1157
BSD,False,-0.8076,1.8401,14.36,6978
BCX,False,-2.6008,1.8843,7.49,125993
BHV,False,-2.23,0.7916,16.15,0
BE,False,-73.91,5.4124,4.6,546178
BGB,False,-1.4085,1.0922,14.56,77621
BLK,True,-3.7705,2.09,425.33,343881
APRN,False,-11.2513,35.5091,8.02,181027
BSL,False,-2.1338,1.7272,17.09,14121
BCRH,False,-4.1447,16.5414,8.2,1290
BXG,False,-5.4945,3.9871,9.66,23958
BXC,False,-3.862,7.4074,25.67,42206
BGX,False,-2.4002,1.9924,15.79,18347
BCC,False,-4.2017,5.9039,29.2,141667
BCEI,False,-5.367,7.3306,22.7,113739
BOOT,False,-7.6007,4.89,31.26,226208
BA,True,-3.6909,4.5,332.86,2164921
BWA,True,-4.4962,4.2521,33.24,762672
SAM,False,-2.7515,4.2414,409.7,78003
BXP,True,-2.159,1.8915,127.28,291671
BSX,True,-3.2515,2.5042,42.86,3449020
BOX,True,-4.8906,1.7576,13.58,657492
BAH,True,-2.6698,3.3815,72.2,465749
BYD,True,-5.1897,3.9821,23.66,414814
BP,True,-2.3129,2.3024,37.2,3295266
BPMP,False,-3.6059,2.4853,14.58,81992
BRC,False,-3.1571,2.6838,49.86,99025
BHR,False,-4.1667,4.8724,9.08,60782
BPT,False,-17.2288,13.1961,8.95,108806
BWG,False,-0.6751,0.7614,12.0,18988
BRFS,False,-2.8384,9.2105,9.77,1751323
BGG,False,-4.4395,3.0197,8.69,201034
BFAM,False,-1.8257,2.1042,155.96,114027
BEDU,False,-9.2184,8.0574,9.3,16008
BSA,False,-1.5905,1.0478,24.46,1956
LND,False,-3.3683,4.0548,4.22,327
BDN,True,-2.1277,2.0337,14.51,527040
BV,False,-11.5123,7.6878,18.5,108893
EAT,True,-4.3564,3.7677,38.64,492913
BMY,True,-3.1114,5.0197,46.49,6121531
BR,True,-5.2063,2.1278,126.75,327943
BSIG,False,-6.6355,2.7003,8.92,168366
BRX,True,-2.4494,2.0844,19.0,1336211
BCO,False,-7.1532,5.2179,82.1,190148
BKD,False,-3.1662,6.1308,8.13,683217
BTI,True,-4.3767,6.8861,36.77,919321
BF.A,False,-3.2538,3.2725,55.18,7724
BIP,False,-1.752,1.21,44.6,133417
BAM,True,-2.5908,1.822,51.03,673165
BEP,False,-1.2623,1.7241,35.79,80793
INF,False,-2.381,2.2394,13.05,22713
RA,False,-1.14,0.6407,22.02,55459
BBU,False,-2.4458,3.6,36.41,9187
BRT,False,-9.3418,9.2807,14.34,6573
BRO,True,-1.59,2.6551,36.5,547085
BF.B,True,-2.9701,2.5551,55.9,397869
BT,False,-6.7826,1.8581,10.57,637683
BVN,True,-8.2333,4.4937,14.63,315612
BPL,True,-1.7548,0.8395,40.95,247463
BC,True,-5.0744,4.9309,46.66,303706
BKE,True,-12.9406,13.1138,17.92,344065
BURL,True,-3.1628,3.6,174.44,344959
BG,True,-6.7459,3.6728,53.47,373911
CABO,False,-1.9409,4.5528,1261.41,14097
CJ,False,-7.7697,20.5556,9.45,288949
PFH,False,-9.8637,4.0987,6.47,0
BBW,False,-7.1809,3.8674,3.68,37974
BY,False,-3.7677,2.694,17.67,33837
CBT,False,-4.9642,3.6082,38.99,155940
CACI,False,-2.9474,2.8296,211.04,124361
COG,True,-12.0698,2.2155,16.99,2900885
BWXT,False,-4.4148,14.6817,56.31,120622
WHD,False,-5.8684,6.3423,27.79,210732
CAE,False,-2.0603,2.5974,27.07,98822
CADE,True,-19.1229,3.2701,15.47,402441
CAL,True,-11.4483,5.53,15.38,296141
CRC,False,-15.4684,9.8431,10.92,928738
CWT,False,-3.3595,2.6908,53.83,87388
CAI,False,-5.9155,4.1902,18.91,45031
CPE,False,-15.9375,10.6236,4.57,2199500
ELY,True,-4.2485,7.3546,18.43,517285
CALX,False,-13.8356,3.23,5.88,109821
CBM,False,-3.7933,47.1309,60.1,92761
CM,False,-1.8656,1.5497,75.99,127869
CWH,False,-16.0886,5.283,8.4,219636
CCJ,False,-7.9279,4.3233,8.47,746788
CPB,True,-2.6689,2.5344,42.26,1022808
GOOS,True,-5.295,4.4609,43.21,409820
CANG,False,-12.798,15.24,6.02,0
CNI,True,-2.7711,3.1415,93.8,309590
CP,False,-1.8961,3.9245,239.84,175740
CNQ,True,-3.6625,3.1646,24.03,1048869
CNNE,False,-2.8174,4.8154,29.65,76521
CGC,True,-7.7649,4.907,34.2,1721897
COF,True,-5.8915,2.8565,87.21,1107026
CMD,False,-3.678,10.9219,90.46,100073
CPT,False,-2.2434,1.956,105.49,150467
CAJ,False,-4.0587,1.5141,26.3,98734
CIC,False,-5.8885,4.5035,9.05,13725
CSU,False,-11.1111,11.5299,4.39,74220
BXMT,True,-2.0688,1.3765,35.35,401557
CMO,False,-3.7199,2.9308,8.19,314964
CRR,False,-12.1951,13.2813,1.38,84984
CAH,True,-5.7739,2.6667,44.67,1385758
CRCM,False,-24.364,7.6326,9.33,266688
CPRI,True,-5.1698,3.9031,30.35,1154288
KMX,True,-3.8756,3.2327,85.39,884738
CUK,False,-1.9291,2.7607,44.47,198608
CRS,False,-5.0538,5.1879,48.24,82073
CSV,False,-2.9443,16.841,21.85,11729
CSL,False,-2.9471,5.7279,143.21,196419
CRI,True,-5.6439,7.7618,89.15,344104
CARS,False,-34.4789,6.143,9.51,292451
CSLT,False,-46.5116,8.3893,1.5,124585
CVNA,True,-5.9029,25.1425,80.43,512048
CCL,True,-1.7438,2.439,45.94,2467130
CTLT,True,-3.1649,3.3477,56.66,293666
CAT,True,-4.4823,3.2846,119.01,2538551
CATO,False,-4.5233,5.3191,13.52,91864
CBL,False,-9.8039,8.163,0.8893,717912
CBZ,False,-1.9926,3.2226,23.38,58487
CBRE,True,-5.0832,2.8108,52.87,622205
CBS,True,-3.7584,3.3347,48.7,1376147
CBS.A,False,-3.1604,3.95,50.89,620
FUN,False,-2.6632,3.6217,52.02,111181
IGR,False,-2.2457,1.0811,7.6,130594
CDR,False,-6.1151,7.3359,2.47,148523
CX,False,-6.3084,1.8868,3.02,2708617
CVE,False,-4.3035,4.162,8.72,1104014
CNC,True,-4.8067,3.925,49.73,2340102
CE,True,-3.6688,4.3812,111.0,428513
CEL,False,-8.209,7.3171,2.5,2381
CPAC,False,-5.7447,5.3892,8.7,54
CNP,True,-2.772,1.7901,28.0,2081108
CLS,False,-3.1294,4.5317,6.69,112755
EBR.B,False,-4.147,5.4264,10.24,34
EBR,False,-4.3269,5.692,10.9,114687
CCS,False,-4.6324,5.2408,27.67,92906
CEN,False,-2.9225,1.8996,7.11,166597
CHAP,False,-14.1079,6.5611,1.99,171450
CEPU,False,-55.9152,7.049,3.74,112085
CTL,False,-7.5993,6.6911,11.48,5795443
CHRA,False,-6.6922,6.7623,5.3,5286
CF,True,-4.2124,5.6295,48.77,641172
GIB,False,-3.0742,1.4013,77.06,56791
CDAY,True,-3.665,3.7321,53.48,392172
CLDT,False,-5.2017,1.6432,17.07,104644
CRL,False,-4.9654,4.1499,130.82,174358
CHE,False,-1.6247,3.2803,428.44,47430
CC,False,-19.1079,5.478,12.6,1529301
CHGG,True,-5.0366,8.8984,41.72,595940
CMCM,False,-5.4201,5.1205,3.11,94600
CHK,False,-10.8974,9.7561,1.45,20545586
CHMI,False,-3.6962,1.5007,13.81,109586
CPK,False,-3.3323,2.3376,92.71,50636
CVX,True,-1.9251,3.4677,122.39,2725825
CHS,False,-7.837,7.5342,3.23,1064603
CHKR,False,-3.7736,2.9412,1.0,17921
CHSP,False,-2.2778,1.701,26.18,116106
CIM,True,-2.001,1.9372,19.75,709925
CEA,False,-8.5988,3.82,24.11,1523
CGA,False,-7.7036,3.6606,3.65,1167
CHN,False,-3.7321,1.581,18.87,1176
LFC,False,-4.8741,2.864,11.61,165015
CHL,True,-3.5096,2.0489,40.5,331991
DL,False,-5.4435,2.7083,4.47,458
COE,False,-6.9174,5.4286,5.9,0
XRF,False,-9.0358,9.7849,0.57,51114
ZNH,False,-7.7122,4.5,29.14,13275
CHU,False,-4.4838,1.6376,9.23,157419
CMG,False,-2.2931,5.1866,816.96,227764
CHH,False,-3.8193,5.4955,90.48,116894
SNP,False,-2.899,1.3,59.9,77309
CB,True,-2.4824,3.2984,158.83,820063
CYD,False,-7.6527,5.6378,13.98,9956
CHA,False,-2.4971,1.619,43.54,14123
CHT,False,-4.5267,1.0174,34.2,31700
CHD,True,-1.5529,1.826,78.43,698497
CIEN,True,-3.644,3.4424,43.2,1178677
CCC,False,-2.9703,4.4192,17.23,128110
CI,True,-3.3904,9.2393,169.47,862809
XEC,True,-6.8088,6.3086,42.39,558495
CBB,False,-13.3475,13.5831,4.75,192778
CNK,True,-4.4022,4.527,38.13,639543
CINR,False,-5.4667,6.5385,15.12,2492
CIR,False,-12.6418,3.8139,36.3,53358
CISN,False,-32.4873,3.6219,6.66,195546
C,True,-3.9488,2.7586,64.83,7632411
BLW,False,-0.9186,1.3298,15.4,37640
CIT,False,-5.4557,2.959,42.88,187382
CIO,False,-2.4096,2.3425,13.08,103300
CVEO,False,-7.0588,10.3226,1.49,23430
CIA,False,-4.9664,4.1949,6.74,30768
CFG,True,-4.4566,6.3836,33.13,1999016
CCO,False,-12.8878,5.49,2.37,198632
CTR,False,-2.2678,1.6719,8.85,22672
CLW,False,-13.7545,17.1884,17.65,46317
EMO,False,-2.8761,1.8028,8.69,67532
CLH,False,-3.6959,6.7499,76.46,106274
CWEN,True,-3.288,3.8084,17.91,263638
CEM,False,-2.7778,1.4718,11.35,75259
CWEN.A,False,-4.3608,3.9228,16.92,110750
CLF,False,-9.5685,4.66,8.58,5522379
CLPR,False,-7.6596,5.5713,11.13,6575
CLDR,False,-4.4286,6.1873,6.76,3268619
CNF,False,-4.6346,4.2991,5.4,0
CMSA,False,-1.427,1.1154,26.52,2485
CMS,True,-1.4713,1.6241,60.09,984865
CMSC,False,-1.2755,0.9735,27.42,927
CLX,True,-3.9729,2.1449,158.96,497200
CNHI,False,-4.1537,3.6027,9.03,577187
CNA,False,-1.6355,2.6037,48.08,74379
CEO,False,-4.1749,2.3543,151.06,38350
CNXM,False,-5.0065,6.1582,14.05,77628
CEIX,False,-5.1562,2.1497,17.29,109578
CNO,True,-6.0319,2.9221,15.37,410832
KOF,False,-3.0805,1.8299,58.67,14572
CNX,False,-11.8005,26.3328,7.16,2117161
KO,True,-2.029,6.0718,53.5,5876139
CCEP,True,-2.0375,1.8018,54.36,543315
CDE,False,-8.3168,7.9151,5.29,2556425
CNS,False,-3.149,2.7842,52.99,74997
FOF,False,-2.4031,1.84,12.63,20653
LDP,False,-3.2283,1.1779,25.22,29781
INB,False,-3.7652,1.6018,8.89,26981
RQI,False,-1.9001,2.0513,14.67,102576
RNP,False,-1.3447,2.0774,22.84,90255
MIE,False,-3.112,1.7745,8.81,45154
UTF,False,-1.6504,1.209,25.88,110910
RFI,False,-2.3622,2.0528,14.35,21999
PSF,False,-2.4966,2.0593,28.66,4936
CCH,False,-0.9901,1.5779,10.24,0
CFX,True,-6.2566,15.1356,26.32,572144
CL,True,-4.0139,2.5512,71.69,2291560
CXE,False,-3.2316,2.2263,5.44,28927
CXH,False,-0.993,1.6145,9.94,1550
CIF,False,-1.1673,1.1952,2.58,6161
CMU,False,-1.8219,2.537,4.74,32714
CLNY,False,-7.6775,4.6211,4.71,885965
STK,False,-5.0326,2.7,20.4,19808
CMC,True,-4.3975,3.8841,16.53,590133
CLNC,False,-7.1381,1.5974,14.01,158986
CXP,False,-2.4242,3.9867,21.27,189063
CYH,False,-11.0656,14.6597,2.27,608185
CMA,True,-6.5437,1.9181,61.88,970747
CHCT,False,-1.9395,2.617,43.25,41611
FIX,False,-20.4888,5.6832,39.04,76447
CBU,False,-3.3945,2.15,62.09,83073
CIG,False,-4.4199,5.4913,3.68,1498047
CIG.C,False,-4.7009,5.5794,4.34,0
SBS,False,-5.2448,5.2863,14.43,742813
ELP,False,-3.8012,3.9683,12.96,219253
CBD,False,-3.6434,10.7322,22.46,226352
CCU,False,-7.7268,2.17,24.62,64425
CODI,False,-4.0,3.7534,18.68,100252
CMP,False,-6.3944,6.3179,51.42,97425
CAG,True,-12.0982,5.9618,28.91,2229725
CCM,False,-3.5842,8.046,2.68,0
CXO,True,-22.2256,7.9559,71.22,883287
CNDT,False,-26.3279,6.4373,6.6,766567
COP,True,-3.9626,3.2821,53.87,3320553
ED,True,-1.454,1.3453,86.75,698428
CCR,False,-11.2119,4.5141,12.9,7466
CRK,False,-6.8814,8.838,5.53,275315
STZ.B,False,-3.8859,6.7639,194.04,2
CSTM,False,-6.1719,14.3816,11.85,293412
CLR,True,-7.802,5.6157,30.86,819459
CBPX,False,-8.1318,5.3339,23.72,78523
CTK,False,-15.7083,6.599,6.8,2429
VLRS,False,-7.3126,8.9598,9.3,103463
CPS,False,-10.7294,7.7197,34.84,69065
TCS,False,-11.9476,7.0637,4.79,117734
STZ,True,-3.1389,4.6384,196.53,638936
CTRA,False,-8.7288,3.4374,30.64,106568
CPA,False,-5.2164,10.8322,103.9,145257
CXW,True,-5.9462,3.8095,17.77,454894
CLB,True,-9.4475,6.7888,40.42,239663
CLGX,False,-8.8771,5.7196,46.57,185868
CORR,False,-1.8832,5.5637,48.13,26271
CTB,False,-9.5832,3.51,24.47,113787
COR,False,-7.4403,3.2443,110.07,101176
CPLG,False,-4.6512,3.1051,10.9,152206
GYC,False,-2.1162,3.8043,21.87,0
CAAP,False,-29.078,3.9948,5.02,15922
GLW,True,-7.9179,2.6783,28.22,2400013
CZZ,False,-5.3884,4.3774,13.9,311215
OFC,True,-2.3435,5.8889,28.32,358818
CMRE,False,-5.2632,5.283,5.38,202248
COTY,False,-13.5075,1.9011,9.67,2347033
CUZ,True,-4.5208,2.0753,34.33,1010154
CVIA,False,-10.9195,13.4969,1.79,375745
CVA,True,-3.1915,2.9254,16.98,346259
CPF,False,-4.1456,2.148,28.37,47782
CR,False,-3.858,2.9408,77.72,163640
COT,False,-4.812,8.0422,12.2,301470
CPL,False,-2.7059,3.3312,16.9,9384
CRD.B,False,-3.2874,5.8957,9.65,4767
CRD.A,False,-3.0392,5.9656,10.36,15513
BAP,False,-3.463,2.78,207.93,152937
CPG,False,-7.2508,9.5541,3.13,1037601
CRH,False,-2.1283,2.6258,32.58,163613
CRT,False,-4.7238,3.1579,9.99,1787
CAPL,False,-5.2273,2.4406,17.06,7376
CS,False,-3.1516,2.5597,11.39,1423073
CRY,False,-5.7577,2.699,26.1,53666
CEQP,False,-3.9902,2.4877,33.5,74666
CSS,False,-5.6093,4.4487,4.83,2035
CTS,False,-7.1093,5.4903,29.53,41980
CCI,True,-3.6089,2.4055,141.95,849200
CFR,False,-5.256,3.2647,87.0,126262
CUBE,True,-3.3101,2.5896,35.15,590869
CCK,True,-2.6433,4.23,68.58,614584
CUB,False,-2.6279,8.3484,68.43,117768
CMI,True,-5.0583,2.8939,151.07,650502
CULP,False,-4.1692,2.9579,15.77,2412
SRF,False,-3.7441,1.5656,6.08,447
SZC,False,-3.8123,1.6229,13.16,30849
SRV,False,-3.9272,1.94,9.79,10129
CW,False,-3.9131,3.6696,120.48,94428
CURO,False,-4.9242,14.2447,13.66,91896
CUBI,False,-4.7527,4.7352,19.64,64594
CWK,False,-7.7336,3.2915,17.62,203697
CVI,False,-4.1273,2.8332,45.54,170040
UAN,False,-9.0465,8.7766,3.9,16492
CVS,True,-2.154,7.4505,59.85,4117757
CELP,False,-9.7074,4.5778,6.77,896
DHI,True,-2.5693,5.7273,47.96,1312002
DAN,True,-12.878,5.9588,13.51,719173
DHR,True,-2.5074,2.3989,140.54,1124728
DQ,False,-8.6887,10.4895,42.26,82500
DAR,True,-2.4561,3.4045,19.52,252792
DRI,True,-2.5024,2.6234,121.16,605909
DVA,True,-5.3324,4.9063,59.39,965008
DAC,False,-10.245,8.2933,7.02,117
DF,False,-36.5269,21.6981,1.03,926010
DCP,False,-7.109,2.98,25.41,131791
DELL,True,-9.1524,2.6776,49.52,1278244
DE,True,-5.031,2.5487,147.17,918563
DK,True,-8.5859,4.1913,32.98,603297
DDF,False,-10.1626,4.7905,12.72,6001
DECK,False,-10.1701,3.1794,146.14,216227
DLPH,True,-8.111,5.9361,14.97,464935
DKL,False,-4.8679,2.6563,30.35,9607
DLX,False,-3.633,3.9239,44.22,155224
DAL,True,-3.8417,2.9369,58.84,2914263
DEX,False,-1.8405,0.9091,9.69,26491
DNR,False,-8.8496,14.5631,1.02,5695013
DESP,False,-16.9952,6.7489,11.92,105495
DKT,False,-1.7154,0.9858,25.52,60163
DXB,False,-1.5898,1.2151,24.97,46614
DB,False,-7.7025,3.6794,7.21,2643913
DHX,False,-7.7519,7.2829,3.3,89865
DHT,False,-4.8387,4.7872,5.27,396527
DVN,True,-6.8148,5.3292,23.62,4011043
DO,False,-16.7341,15.9895,6.0,826454
DEO,False,-2.3731,1.7143,163.92,148031
DSX,False,-5.1576,4.0816,3.05,73741
DKS,True,-6.2147,4.5412,33.15,626501
DBD,False,-5.3628,27.9883,13.66,424769
DRH,False,-3.9715,3.8076,9.49,491625
DLR,True,-3.9908,2.5088,120.19,431838
DPLO,False,-9.1371,7.5188,5.39,231389
DDT,False,-1.208,0.804,26.17,3071
DIN,False,-5.0653,4.3715,79.1,145330
DDS,False,-8.7696,23.9844,59.87,233540
DNI,False,-2.8846,2.0463,11.32,6085
DFS,True,-4.0148,8.9015,82.95,823996
DLB,False,-13.6163,3.11,60.2,213813
D,True,-1.7758,2.1806,75.38,2323485
DG,True,-2.2933,2.0804,135.38,944281
UFS,True,-11.2603,2.6997,35.24,318530
DPZ,True,-8.6618,2.6243,240.6,324315
DCI,False,-3.7829,2.4707,49.0,155321
DRUA,False,-1.4341,0.8174,25.96,11528
DFIN,False,-10.8148,2.7301,11.21,31932
LPG,False,-6.1714,7.5741,9.36,193233
PLOW,False,-3.1618,11.9091,43.06,27147
DEI,False,-1.9245,2.001,41.06,231715
DOV,True,-3.8864,2.489,91.28,552158
DVD,False,-4.8077,3.9324,2.01,948
DBL,False,-2.585,1.2542,20.57,13662
DSL,False,-1.7909,1.8272,20.04,203057
RDY,False,-3.0769,3.3627,35.35,65855
DRD,False,-4.918,9.8901,3.86,36105
DHF,False,-1.2945,0.9772,3.05,53735
DCF,False,-1.8221,2.2752,9.05,10710
DSM,False,-1.1016,2.7479,8.4,54071
DMB,False,-1.09,2.1528,14.72,15565
LEO,False,-1.1468,1.2776,8.53,45361
DRQ,False,-5.8824,10.2754,47.58,158853
DS,False,-5.754,3.4335,5.1,60666
DTE,True,-1.9565,1.5262,128.23,457094
DTQ,False,-0.4734,0.551,25.45,4090
DTJ,False,-0.7246,0.65,26.23,3024
DTW,False,-0.7405,0.9153,26.67,7163
DCO,False,-5.6845,17.1625,42.38,42073
DTY,False,-1.8486,1.3438,27.13,3529
DSE,False,-3.8,2.8112,4.9,29051
DUC,False,-0.6795,0.5714,8.89,9691
DPG,False,-1.9367,2.1362,15.09,53150
DUK,True,-1.4924,2.2539,89.82,1717593
DUKB,False,-1.7922,1.03,27.22,9414
DNP,False,-0.9885,1.304,12.38,140535
DRE,True,-2.4628,2.0574,33.16,1008170
DUKH,False,-0.9572,1.0757,25.47,11742
DXC,True,-30.4743,3.5278,34.09,1031202
DTF,False,-0.3592,0.7174,14.08,75
DLNG,False,-4.6154,6.338,1.27,15892
DY,False,-5.9666,7.7151,47.38,156819
DX,False,-3.9481,2.0579,15.5,146838
ELF,True,-3.8261,9.6378,16.8,327869
EGIF,False,-1.9355,1.5831,15.27,2080
DEA,True,-1.4568,2.2119,20.38,297602
ECCX,False,-0.9686,0.939,25.72,0
EGP,False,-2.1257,1.9425,122.79,101416
EMN,True,-3.8089,3.1889,67.15,421904
ETN,True,-3.1148,2.8281,79.41,1081957
ESTE,False,-10.274,8.2228,3.74,84172
ECCY,False,-1.341,1.9531,25.75,0
ECCA,False,-0.6778,1.0916,25.74,627
ECCB,False,-2.0151,1.5871,26.17,203
ETW,False,-3.0021,1.2725,9.54,152273
KODK,False,-9.2742,3.5714,2.05,42309
ETV,False,-3.0065,2.25,15.08,111178
EXP,True,-8.2973,4.2276,84.03,269830
EV,True,-4.6539,2.5104,40.78,323639
EOI,False,-3.5123,1.9836,14.93,39056
EFT,False,-0.8889,0.8929,13.36,47601
EFF,False,-0.3984,0.8587,15.31,2365
EHT,False,-1.3944,0.7,9.88,15486
EOT,False,-3.5628,2.9167,22.92,9584
EVN,False,-0.6993,0.8621,12.83,38329
EFR,False,-0.7582,0.8397,13.04,33771
ETJ,False,-2.5424,1.6304,9.41,70271
EFL,False,-1.2592,1.5991,9.25,10732
EVF,False,-1.12,0.7974,6.16,27870
EOS,False,-3.0338,2.4669,17.02,45104
ETO,False,-2.7666,2.4223,25.64,17719
EXD,False,-1.8711,1.0823,9.5,12902
EVG,False,-1.2555,1.8811,13.18,2572
ETB,False,-1.946,2.1154,15.89,19763
ETG,False,-2.9888,1.3359,15.77,88037
ETY,False,-3.0483,1.8088,11.76,141508
EXG,False,-1.7348,1.968,8.01,324692
